,Antony,Cleopatra,Octavius,Enobarbus,Pompey,Charmian,Menas,Lepidus,Agrippa,Dolabella,MESSENGERS.X.2,Alexas,Iras,Proculeius,Soothsayer,Maecenas,GUARDS.CAESAR.0.1,GUARDS.Dercetus,Thidias,Octavia,Eros,Ambassador,Countryman,Ventidius,Scarus,Diomedes,Canidius,WATCHMEN.Sentry,Mardian,Boy,MESSENGERS.CAESAR.2,Seleucus,Egyptian,SOLDIERS.ANTONY.X.1,SOLDIERS.ANTONY.X.3,Philo,MESSENGERS.CAESAR.1,Silius,SOLDIERS.ANTONY.0.1,SOLDIERS.CAESAR.X.1,GUARDS.0.1,SOLDIERS.ANTONY.0.2,SOLDIERS.ANTONY.X.2,WATCHMEN.2,Gallus,MESSENGERS.ANTONY.1,WATCHMEN.1,CAPTAINS.0.1,Varrius,MESSENGERS.X.1,Demetrius,SERVANTS.0.1,MESSENGERS.X.3,SERVANTS.0.2,SERVANTS.X.2,GUARDS.CAESAR.1,GUARDS.CAESAR.0.2,SOLDIERS.ANTONY.0.3,SOLDIERS.ANTONY,GUARDS.0.2,MESSENGERS.X.5,SERVANTS,MESSENGERS.ANTONY.3,CAPTAINS,ATTENDANTS.CAESAR,SERVANTS.X.1,GUARDS,SOLDIERS.ANTONY.0.4,GUARDS.0.3,MESSENGERS.ANTONY.2,MESSENGERS.X.4,Taurus,ATTENDANTS.ANTONY,EUNUCHS,GUARDS.CAESAR,LADIES,SOLDIERS,ATTENDANTS.ROMAN,ATTENDANTS.OCTAVIA,SOLDIERS.ANTONY.0,SOLDIERS.CAESAR,SERVANTS.Lucillius,Menecrates,SERVANTS.Rannius,SERVANTS.ANTONY,SERVANTS.Lamprius,ATTENDANTS
Antony,0.0,3326.0,1280.0,3068.0,358.0,2764.0,358.0,1218.0,1218.0,0.0,0.0,227.0,2442.0,0.0,169.0,1063.0,0.0,29.0,411.0,437.0,1685.0,129.0,0.0,705.0,719.0,302.0,192.0,0.0,483.0,243.0,0.0,0.0,0.0,6.0,90.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,131.0,0.0,0.0,0.0,204.0,227.0,0.0,0.0,0.0,459.0,0.0,0.0,0.0,552.0,0.0,0.0,384.0,99.0,355.0,0.0,0.0,290.0,0.0,0.0,48.0,0.0,0.0,548.0,227.0,0.0,0.0,115.0,0.0,0.0,614.0,0.0,0.0,0.0,0.0,258.0,0.0,695.0
Cleopatra,1682.0,0.0,442.0,434.0,0.0,5488.0,0.0,0.0,0.0,820.0,733.0,1836.0,5550.0,745.0,52.0,442.0,0.0,0.0,119.0,0.0,80.0,6.0,69.0,0.0,35.0,606.0,25.0,0.0,1791.0,0.0,0.0,281.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,11.0,0.0,0.0,0.0,162.0,183.0,0.0,0.0,0.0,142.0,78.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,442.0,32.0,606.0,0.0,0.0,0.0,0.0,0.0,52.0,183.0,0.0,0.0,0.0,0.0,0.0,64.0,177.0,52.0,0.0,52.0,9.0,52.0,73.0
Octavius,805.0,465.0,0.0,871.0,225.0,465.0,225.0,1339.0,2299.0,748.0,0.0,0.0,465.0,849.0,0.0,2387.0,0.0,438.0,190.0,572.0,0.0,157.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,137.0,208.0,27.0,36.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,137.0,0.0,137.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,190.0,0.0,88.0,536.0,406.0,68.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
Enobarbus,911.0,634.0,321.0,123.0,193.0,437.0,486.0,390.0,987.0,0.0,0.0,41.0,437.0,0.0,41.0,767.0,0.0,0.0,98.0,48.0,72.0,0.0,0.0,84.0,43.0,0.0,144.0,135.0,41.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,179.0,0.0,41.0,0.0,41.0,55.0,41.0,81.0
Pompey,756.0,0.0,756.0,756.0,0.0,0.0,1118.0,756.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0
Charmian,30.0,472.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,513.0,828.0,10.0,367.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,51.0,0.0,0.0,0.0,0.0,7.0,10.0,367.0,0.0,367.0,0.0,367.0,7.0
Menas,228.0,0.0,228.0,462.0,327.0,0.0,0.0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0
Lepidus,250.0,0.0,363.0,310.0,117.0,0.0,117.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,88.0,60.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrippa,196.0,0.0,274.0,328.0,2.0,0.0,2.0,212.0,0.0,5.0,0.0,0.0,0.0,41.0,0.0,315.0,0.0,41.0,0.0,40.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Dolabella,0.0,309.0,94.0,0.0,0.0,236.0,0.0,0.0,42.0,0.0,0.0,0.0,309.0,90.0,0.0,57.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
